part,status,full_name,module,entity_name,type,bases,source
01,Implemented,sage.calculus.desolvers.desolve_system_rk4,sage.calculus.desolvers,desolve_system_rk4,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1382
01,Implemented,sage.calculus.desolvers.desolve_tides_mpfr,sage.calculus.desolvers,desolve_tides_mpfr,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1771
01,Implemented,sage.calculus.desolvers.eulers_method,sage.calculus.desolvers,eulers_method,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L950
01,Implemented,sage.calculus.desolvers.eulers_method_2x2,sage.calculus.desolvers,eulers_method_2x2,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1038
01,Implemented,sage.calculus.desolvers.eulers_method_2x2_plot,sage.calculus.desolvers,eulers_method_2x2_plot,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1141
01,Implemented,sage.calculus.desolvers.fricas_desolve,sage.calculus.desolvers,fricas_desolve,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L88
01,Implemented,sage.calculus.desolvers.fricas_desolve_system,sage.calculus.desolvers,fricas_desolve_system,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L125
01,Implemented,sage.calculus.functional,sage.calculus.functional,functional,module,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L69
01,Implemented,sage.calculus.functional.derivative,sage.calculus.functional,derivative,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L69
01,Implemented,sage.calculus.functional.diff,sage.calculus.functional,diff,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L69
01,Implemented,sage.calculus.functional.expand,sage.calculus.functional,expand,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L425
01,Implemented,sage.calculus.functional.integral,sage.calculus.functional,integral,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L175
01,Implemented,sage.calculus.functional.integrate,sage.calculus.functional,integrate,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L175
01,Implemented,sage.calculus.functional.lim,sage.calculus.functional,lim,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L325
01,Implemented,sage.calculus.functional.limit,sage.calculus.functional,limit,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L325
01,Implemented,sage.calculus.functional.simplify,sage.calculus.functional,simplify,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L32
01,Implemented,sage.calculus.functional.taylor,sage.calculus.functional,taylor,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/functional.py#L381
01,Implemented,sage.calculus.integration,sage.calculus.integration,integration,module,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/integration.pyx#L443
01,Implemented,sage.calculus.integration.PyFunctionWrapper,sage.calculus.integration,PyFunctionWrapper,class,object,
01,Implemented,sage.calculus.integration.compiled_integrand,sage.calculus.integration,compiled_integrand,class,object,
01,Implemented,sage.calculus.integration.monte_carlo_integral,sage.calculus.integration,monte_carlo_integral,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/integration.pyx#L443
01,Implemented,sage.calculus.integration.numerical_integral,sage.calculus.integration,numerical_integral,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/integration.pyx#L74
02,Implemented,sage.categories.functor,sage.categories.functor,functor,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/functor.pyx#L646
02,Implemented,sage.categories.functor.ForgetfulFunctor,sage.categories.functor,ForgetfulFunctor,function,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/functor.pyx#L646
02,Implemented,sage.categories.functor.ForgetfulFunctor_generic,sage.categories.functor,ForgetfulFunctor_generic,class,Functor,https://github.com/sagemath/sage/blob/develop/src/sage/categories/functor.pyx#L451
02,Implemented,sage.categories.functor.Functor,sage.categories.functor,Functor,class,SageObject,https://github.com/sagemath/sage/blob/develop/src/sage/categories/functor.pyx#L63
02,Implemented,sage.categories.functor.IdentityFunctor,sage.categories.functor,IdentityFunctor,function,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/functor.pyx#L626
02,Implemented,sage.categories.functor.IdentityFunctor_generic,sage.categories.functor,IdentityFunctor_generic,class,"C, ForgetfulFunctor_generic",https://github.com/sagemath/sage/blob/develop/src/sage/categories/functor.pyx#L541
02,Implemented,sage.categories.functor.is_Functor,sage.categories.functor,is_Functor,function,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/functor.pyx#L414
02,Implemented,sage.categories.morphism,sage.categories.morphism,morphism,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/morphism.pyx#L76
